"tempo" "com" "a" "b" "status"
"1156088764" "CONN" "1" "115" "down"
"1156091957" "CONN" "1" "119" "up"
"1156091974" "CONN" "1" "119" "down"
"1156085457" "CONN" "1" "12" "up"
"1156085457" "CONN" "1" "12" "down"
"1156085479" "CONN" "1" "12" "up"
"1156085479" "CONN" "1" "12" "down"
"1156085513" "CONN" "1" "12" "up"
"1156085513" "CONN" "1" "12" "down"
"1156085534" "CONN" "1" "12" "up"
"1156085534" "CONN" "1" "12" "down"
"1156085564" "CONN" "1" "12" "up"
"1156085564" "CONN" "1" "12" "down"
"1156085723" "CONN" "1" "12" "up"
"1156085723" "CONN" "1" "12" "down"
"1156085864" "CONN" "1" "12" "up"
"1156085864" "CONN" "1" "12" "down"
"1156085892" "CONN" "1" "12" "up"
"1156085892" "CONN" "1" "12" "down"
"1156085939" "CONN" "1" "12" "up"
"1156085939" "CONN" "1" "12" "down"
"1156086139" "CONN" "1" "12" "up"
"1156086141" "CONN" "1" "12" "down"
"1156086188" "CONN" "1" "12" "up"
"1156086188" "CONN" "1" "12" "down"
"1156086189" "CONN" "1" "12" "up"
"1156086189" "CONN" "1" "12" "down"
"1156086207" "CONN" "1" "12" "up"
"1156086207" "CONN" "1" "12" "down"
"1156086223" "CONN" "1" "12" "up"
"1156086223" "CONN" "1" "12" "down"
"1156086224" "CONN" "1" "12" "up"
"1156086247" "CONN" "1" "12" "down"
"1156086933" "CONN" "1" "12" "up"
"1156086933" "CONN" "1" "12" "down"
"1156086944" "CONN" "1" "12" "up"
"1156086972" "CONN" "1" "12" "down"
"1156088940" "CONN" "1" "12" "up"
"1156088972" "CONN" "1" "12" "down"
"1156088997" "CONN" "1" "12" "up"
"1156089050" "CONN" "1" "12" "down"
"1156090564" "CONN" "1" "12" "up"
"1156090581" "CONN" "1" "12" "down"
"1156090583" "CONN" "1" "12" "up"
"1156090583" "CONN" "1" "12" "down"
"1156090606" "CONN" "1" "12" "up"
"1156090625" "CONN" "1" "12" "down"
"1156091700" "CONN" "1" "12" "up"
"1156091700" "CONN" "1" "12" "down"
"1156091712" "CONN" "1" "12" "up"
"1156091712" "CONN" "1" "12" "down"
"1156091743" "CONN" "1" "12" "up"
"1156091761" "CONN" "1" "12" "down"
"1156091771" "CONN" "1" "12" "up"
"1156091771" "CONN" "1" "12" "down"
"1156091823" "CONN" "1" "12" "up"
"1156091823" "CONN" "1" "12" "down"
"1156091826" "CONN" "1" "12" "up"
"1156091826" "CONN" "1" "12" "down"
"1156091840" "CONN" "1" "12" "up"
"1156091840" "CONN" "1" "12" "down"
"1156092016" "CONN" "1" "12" "up"
"1156092016" "CONN" "1" "12" "down"
"1156092062" "CONN" "1" "12" "up"
"1156092062" "CONN" "1" "12" "down"
"1156092099" "CONN" "1" "12" "up"
"1156092099" "CONN" "1" "12" "down"
"1156092223" "CONN" "1" "12" "up"
"1156092223" "CONN" "1" "12" "down"
"1156092241" "CONN" "1" "12" "up"
"1156092241" "CONN" "1" "12" "down"
"1156093039" "CONN" "1" "12" "up"
"1156093053" "CONN" "1" "12" "down"
"1156093979" "CONN" "1" "12" "up"
"1156093979" "CONN" "1" "12" "down"
"1156085029" "CONN" "1" "120" "up"
"1156085029" "CONN" "1" "120" "down"
"1156085315" "CONN" "1" "120" "up"
"1156085315" "CONN" "1" "120" "down"
"1156085349" "CONN" "1" "120" "up"
"1156085349" "CONN" "1" "120" "down"
"1156085792" "CONN" "1" "120" "up"
"1156085792" "CONN" "1" "120" "down"
"1156085925" "CONN" "1" "120" "up"
"1156086045" "CONN" "1" "120" "down"
"1156086075" "CONN" "1" "120" "up"
"1156086075" "CONN" "1" "120" "down"
"1156086097" "CONN" "1" "120" "up"
"1156086097" "CONN" "1" "120" "down"
"1156086438" "CONN" "1" "120" "up"
"1156086438" "CONN" "1" "120" "down"
"1156086445" "CONN" "1" "120" "up"
"1156086445" "CONN" "1" "120" "down"
"1156086599" "CONN" "1" "120" "up"
"1156086599" "CONN" "1" "120" "down"
"1156087154" "CONN" "1" "120" "up"
"1156087154" "CONN" "1" "120" "down"
"1156088600" "CONN" "1" "120" "up"
"1156088600" "CONN" "1" "120" "down"
"1156088682" "CONN" "1" "120" "up"
"1156088716" "CONN" "1" "120" "down"
"1156088781" "CONN" "1" "120" "up"
"1156088781" "CONN" "1" "120" "down"
"1156089948" "CONN" "1" "120" "up"
"1156089948" "CONN" "1" "120" "down"
"1156090705" "CONN" "1" "120" "up"
"1156090718" "CONN" "1" "120" "down"
"1156090804" "CONN" "1" "120" "up"
"1156090804" "CONN" "1" "120" "down"
"1156090991" "CONN" "1" "120" "up"
"1156090991" "CONN" "1" "120" "down"
"1156091025" "CONN" "1" "120" "up"
"1156091066" "CONN" "1" "120" "down"
"1156091139" "CONN" "1" "120" "up"
"1156091139" "CONN" "1" "120" "down"
"1156091176" "CONN" "1" "120" "up"
"1156091206" "CONN" "1" "120" "down"
"1156091374" "CONN" "1" "120" "up"
"1156091374" "CONN" "1" "120" "down"
"1156091455" "CONN" "1" "120" "up"
"1156091455" "CONN" "1" "120" "down"
"1156092720" "CONN" "1" "120" "up"
"1156092720" "CONN" "1" "120" "down"
"1156092747" "CONN" "1" "120" "up"
"1156092794" "CONN" "1" "120" "down"
"1156092834" "CONN" "1" "120" "up"
"1156092849" "CONN" "1" "120" "down"
"1156084773" "CONN" "1" "121" "up"
"1156084784" "CONN" "1" "121" "down"
"1156084817" "CONN" "1" "121" "up"
"1156084872" "CONN" "1" "121" "down"
"1156084911" "CONN" "1" "121" "up"
"1156084911" "CONN" "1" "121" "down"
"1156085124" "CONN" "1" "121" "up"
"1156085124" "CONN" "1" "121" "down"
"1156085165" "CONN" "1" "121" "up"
"1156085165" "CONN" "1" "121" "down"
"1156085808" "CONN" "1" "121" "up"
"1156085835" "CONN" "1" "121" "down"
"1156085894" "CONN" "1" "121" "up"
"1156085894" "CONN" "1" "121" "down"
"1156086064" "CONN" "1" "121" "up"
"1156086064" "CONN" "1" "121" "down"
"1156086568" "CONN" "1" "121" "up"
"1156086581" "CONN" "1" "121" "down"
"1156086964" "CONN" "1" "121" "up"
"1156086964" "CONN" "1" "121" "down"
"1156087275" "CONN" "1" "121" "up"
"1156087318" "CONN" "1" "121" "down"
