"a" "b" "contagem"
"5" "25" 57
"5" "26" 53
"5" "27" 5
"5" "28" 3
"5" "29" 35
"5" "30" 16
"5" "31" 29
"5" "32" 24
"5" "33" 24
"5" "34" 26
"5" "35" 20
"5" "36" 12
"5" "37" 42
"5" "38" 12
"5" "39" 40
"5" "40" 19
"5" "41" 10
"5" "42" 20
"5" "43" 21
"5" "44" 21
"5" "45" 33
"5" "46" 26
"5" "47" 19
"5" "48" 20
"5" "49" 30
"5" "50" 25
"5" "51" 34
"5" "52" 34
"5" "53" 32
"5" "54" 51
"5" "55" 49
"5" "56" 55
"5" "57" 15
"5" "58" 24
"5" "59" 60
"5" "60" 41
"5" "61" 6
"5" "62" 7
"5" "70" 56
"5" "73" 1
"5" "76" 1
"5" "85" 2
"5" "88" 28
"5" "90" 3
"5" "94" 1
"5" "95" 22
"5" "102" 1
"5" "108" 1
"5" "113" 2
"5" "114" 5
"5" "115" 16
"5" "119" 1
"5" "120" 16
"5" "121" 10
"5" "126" 1
"5" "136" 1
"5" "144" 15
"5" "147" 1
"5" "148" 1
"5" "149" 1
"5" "150" 9
"5" "151" 19
"5" "153" 15
"5" "157" 8
"5" "159" 3
"5" "166" 1
"5" "179" 1
"5" "182" 1
"5" "196" 1
"5" "198" 1
"5" "199" 1
"5" "203" 1
"5" "210" 1
"5" "236" 1
"5" "244" 1
"5" "252" 1
"5" "257" 1
"5" "258" 1
"5" "272" 1
"5" "284" 1
"5" "287" 3
"5" "294" 16
"5" "303" 1
"5" "306" 15
"5" "311" 23
"5" "318" 14
"5" "323" 6
"5" "337" 14
"5" "338" 6
"5" "344" 1
"5" "345" 26
"5" "347" 1
"5" "348" 1
"5" "349" 1
"5" "353" 3
"5" "362" 1
"5" "363" 7
"5" "367" 1
"5" "371" 1
"5" "375" 35
"5" "377" 29
"5" "379" 1
"5" "382" 1
"5" "389" 1
"5" "396" 36
"5" "397" 1
"5" "401" 26
"5" "404" 1
"5" "407" 1
"5" "408" 6
"5" "410" 7
"5" "424" 3
"5" "427" 7
"5" "428" 1
"5" "430" 1
"5" "433" 15
"5" "435" 1
"5" "436" 28
"5" "437" 36
"5" "439" 20
"5" "445" 1
"5" "446" 3
"5" "450" 1
"5" "454" 1
"5" "455" 1
"5" "460" 25
"5" "463" 16
"5" "471" 1
"5" "472" 6
"5" "475" 1
"5" "487" 1
"5" "501" 1
"5" "503" 1
"5" "505" 1
"5" "507" 1
"5" "509" 1
"5" "511" 1
"5" "522" 1
"5" "525" 1
"5" "528" 1
"5" "529" 1
"5" "530" 1
"5" "534" 31
"5" "541" 1
"5" "542" 1
"5" "544" 1
"5" "548" 23
"5" "551" 1
"5" "556" 1
"5" "557" 14
"5" "563" 1
"5" "570" 2
"5" "574" 7
"5" "575" 27
"5" "578" 1
"5" "585" 6
"5" "589" 3
"5" "591" 1
"5" "596" 2
"5" "599" 1
"5" "600" 1
"5" "601" 1
"5" "604" 1
"5" "611" 31
"5" "631" 1
"5" "634" 1
"5" "635" 1
"5" "637" 3
"5" "642" 1
"5" "645" 1
"5" "646" 1
"5" "651" 2
"5" "654" 1
"5" "664" 1
"5" "665" 1
"5" "667" 1
"5" "668" 1
"5" "671" 1
