"a" "b" "tinicio" "tfinal" "tcontato"
"1" "13" 5991000 5991000 0
"1" "13" 6007000 6007000 0
"1" "13" 6017000 6017000 0
"1" "13" 6043000 6076000 33000
"1" "13" 6250000 6250000 0
"1" "13" 6263000 6263000 0
"1" "13" 8039000 8039000 0
"1" "13" 8078000 8078000 0
"1" "13" 8282000 8282000 0
"1" "14" 1197000 1197000 0
"1" "14" 1250000 1250000 0
"1" "14" 1279000 1285000 6000
"1" "14" 1323000 1331000 8000
"1" "14" 1409000 1585000 176000
"1" "14" 1599000 1599000 0
"1" "14" 1617000 1624000 7000
"1" "14" 1650000 1680000 30000
"1" "14" 1747000 1747000 0
"1" "14" 1799000 1813000 14000
"1" "14" 2144000 2157000 13000
"1" "14" 2192000 2192000 0
"1" "14" 2194000 2194000 0
"1" "14" 2219000 2219000 0
"1" "14" 2324000 2324000 0
"1" "14" 2390000 2390000 0
"1" "14" 2396000 2396000 0
"1" "14" 2419000 2419000 0
"1" "14" 2436000 2436000 0
"1" "14" 2590000 2590000 0
"1" "14" 2642000 2668000 26000
"1" "14" 2693000 2693000 0
"1" "14" 2699000 2702000 3000
"1" "14" 2724000 2746000 22000
"1" "14" 3703000 3703000 0
"1" "14" 3771000 3771000 0
"1" "14" 5563000 5563000 0
"1" "14" 5587000 5587000 0
"1" "14" 5620000 5620000 0
"1" "14" 5652000 5652000 0
"1" "14" 5660000 5692000 32000
"1" "14" 7836000 7836000 0
"1" "14" 7886000 7886000 0
"1" "14" 7927000 7927000 0
"1" "14" 7954000 7970000 16000
"1" "14" 7990000 8001000 11000
"1" "14" 8102000 8102000 0
"1" "14" 8134000 8134000 0
"1" "14" 8154000 8154000 0
"1" "14" 8323000 8323000 0
"1" "14" 8354000 8354000 0
"1" "14" 8358000 8358000 0
"1" "14" 8377000 8377000 0
"1" "14" 8934000 8934000 0
"1" "14" 8952000 8952000 0
"1" "15" 961000 961000 0
"1" "15" 1025000 1031000 6000
"1" "15" 1077000 1097000 20000
"1" "15" 1129000 1141000 12000
"1" "15" 1169000 1169000 0
"1" "15" 1177000 1206000 29000
"1" "15" 1707000 1707000 0
"1" "15" 1964000 1999000 35000
"1" "15" 2014000 2014000 0
"1" "15" 2312000 2312000 0
"1" "15" 2411000 2411000 0
"1" "15" 2579000 2579000 0
"1" "15" 2672000 2672000 0
"1" "15" 3180000 3194000 14000
"1" "15" 3375000 3375000 0
"1" "15" 4074000 4074000 0
"1" "15" 4103000 4117000 14000
"1" "15" 4159000 4171000 12000
"1" "15" 4220000 4220000 0
"1" "15" 4261000 4272000 11000
"1" "15" 4295000 4295000 0
"1" "15" 4301000 4301000 0
"1" "15" 4336000 4347000 11000
"1" "15" 4414000 4414000 0
"1" "15" 4422000 4422000 0
"1" "15" 4490000 4497000 7000
"1" "15" 4557000 4557000 0
"1" "15" 4595000 4595000 0
"1" "15" 4646000 4646000 0
"1" "15" 4682000 4687000 5000
"1" "15" 6794000 6794000 0
"1" "15" 6796000 6796000 0
"1" "15" 6833000 6833000 0
"1" "15" 6887000 6887000 0
"1" "15" 6923000 6923000 0
"1" "15" 6971000 6971000 0
"1" "15" 7389000 7389000 0
"1" "15" 7974000 7974000 0
"1" "15" 8019000 8019000 0
"1" "15" 8142000 8142000 0
"1" "15" 9594000 9594000 0
"1" "15" 9605000 9605000 0
"1" "16" 1111000 1111000 0
"1" "16" 1139000 1139000 0
"1" "16" 1432000 1432000 0
"1" "16" 1502000 1502000 0
"1" "16" 1510000 1510000 0
"1" "16" 1657000 1657000 0
"1" "16" 1935000 1935000 0
"1" "16" 2001000 2001000 0
"1" "16" 2014000 2014000 0
"1" "16" 2028000 2044000 16000
"1" "16" 2099000 2118000 19000
"1" "16" 2194000 2194000 0
"1" "16" 2289000 2292000 3000
"1" "16" 2449000 2449000 0
"1" "16" 2452000 2452000 0
"1" "16" 2492000 2526000 34000
"1" "16" 2537000 2537000 0
