"a" "b" "tinicio" "tfinal" "tcontato"
"1" "17" 4424 4424 0
"1" "17" 4663 4663 0
"1" "17" 4700 4717 17
"1" "17" 7887 7887 0
"1" "17" 7909 7909 0
"1" "17" 7941 7941 0
"1" "17" 8127 8127 0
"1" "17" 8186 8186 0
"1" "17" 8375 8375 0
"1" "18" 1177 1177 0
"1" "18" 3926 3941 15
"1" "18" 4244 4244 0
"1" "18" 4682 4682 0
"1" "18" 9323 9323 0
"1" "18" 9359 9359 0
"1" "18" 9579 9640 61
"1" "18" 10006 10006 0
"1" "18" 10037 10037 0
"1" "19" 3133 3133 0
"1" "19" 3139 3139 0
"1" "19" 3554 3554 0
"1" "19" 3565 3565 0
"1" "19" 3658 3658 0
"1" "19" 5590 5590 0
"1" "19" 5624 5624 0
"1" "19" 5653 5669 16
"1" "19" 5892 5892 0
"1" "19" 5898 5898 0
"1" "19" 6224 6224 0
"1" "19" 7787 7787 0
"1" "19" 7833 7833 0
"1" "19" 7890 7909 19
"1" "19" 9020 9040 20
"1" "20" 3675 3675 0
"1" "20" 3791 3791 0
"1" "20" 3795 3798 3
"1" "20" 3836 3836 0
"1" "20" 3870 3870 0
"1" "20" 3878 3878 0
"1" "20" 3903 3903 0
"1" "20" 3941 3941 0
"1" "20" 4201 4218 17
"1" "20" 4234 4234 0
"1" "20" 4281 4281 0
"1" "20" 4292 4292 0
"1" "20" 4347 4347 0
"1" "20" 5863 5875 12
"1" "20" 6071 6071 0
"1" "20" 6076 6076 0
"1" "20" 6119 6119 0
"1" "20" 6125 6125 0
"1" "20" 6152 6152 0
"1" "20" 6196 6207 11
"1" "20" 7343 7343 0
"1" "20" 7446 7446 0
"1" "20" 7707 7736 29
"1" "20" 7803 7824 21
"1" "20" 7860 7887 27
"1" "20" 7926 7926 0
"1" "20" 8002 8002 0
"1" "20" 8127 8127 0
"1" "20" 8160 8160 0
"1" "20" 9037 9037 0
"1" "20" 9200 9200 0
"1" "20" 9226 9244 18
"1" "20" 9291 9294 3
"1" "21" 1180 1196 16
"1" "21" 1224 1224 0
"1" "21" 1239 1239 0
"1" "21" 1274 1340 66
"1" "21" 1347 1347 0
"1" "21" 1368 1383 15
"1" "21" 1400 1400 0
"1" "21" 1417 1449 32
"1" "21" 1486 1488 2
"1" "21" 1518 1518 0
"1" "21" 1557 1588 31
"1" "21" 1601 1601 0
"1" "21" 1614 1614 0
"1" "21" 1682 1682 0
"1" "21" 1694 1694 0
"1" "21" 1770 1775 5
"1" "21" 1814 1814 0
"1" "21" 1826 1826 0
"1" "21" 2133 2133 0
"1" "21" 2222 2222 0
"1" "21" 2324 2350 26
"1" "21" 2379 2391 12
"1" "21" 2396 2396 0
"1" "21" 2406 2406 0
"1" "21" 2424 2424 0
"1" "21" 2434 2434 0
"1" "21" 2538 2538 0
"1" "21" 2561 2561 0
"1" "21" 2602 2629 27
"1" "21" 2704 2704 0
"1" "21" 2715 2727 12
"1" "21" 2743 2743 0
"1" "21" 3705 3722 17
"1" "21" 3773 3785 12
"1" "21" 5528 5544 16
"1" "21" 5548 5583 35
"1" "21" 5588 5588 0
"1" "21" 5607 5607 0
"1" "21" 5633 5633 0
"1" "21" 5666 5685 19
"1" "21" 5710 5710 0
"1" "21" 7871 7926 55
"1" "21" 7965 7965 0
"1" "21" 7990 7990 0
"1" "21" 8127 8127 0
"1" "21" 8150 8150 0
"1" "21" 8181 8181 0
"1" "21" 8212 8227 15
"1" "21" 8232 8232 0
"1" "21" 8269 8269 0
"1" "21" 8296 8413 117
"1" "21" 8905 8921 16
"1" "21" 8942 8963 21
"1" "22" 4016 4016 0
"1" "22" 4047 4047 0
"1" "22" 4056 4056 0
"1" "22" 4066 4066 0
"1" "22" 4088 4103 15
"1" "22" 6736 6736 0
"1" "22" 6782 6794 12
"1" "22" 6801 6803 2
"1" "22" 6818 6818 0
"1" "22" 6857 6872 15
"1" "22" 6896 6896 0
"1" "22" 6923 6923 0
"1" "22" 6934 6950 16
"1" "22" 6971 6971 0
"1" "22" 7522 7522 0
"1" "22" 7555 7555 0
"1" "22" 9187 9187 0
"1" "22" 9211 9211 0
"1" "22" 9232 9232 0
"1" "22" 9260 9260 0
"1" "23" 1958 1958 0
"1" "23" 1964 1964 0
"1" "23" 2043 2043 0
"1" "23" 2202 2202 0
"1" "23" 2226 2226 0
"1" "23" 2247 2265 18
"1" "23" 2279 2279 0
"1" "23" 2292 2307 15
"1" "23" 2335 2335 0
"1" "23" 2351 2351 0
"1" "23" 2367 2367 0
"1" "23" 2549 2549 0
"1" "23" 2841 2841 0
"1" "23" 3030 3030 0
"1" "23" 3035 3035 0
"1" "23" 3079 3081 2
"1" "23" 3127 3127 0
"1" "23" 3149 3194 45
"1" "23" 3209 3244 35
"1" "23" 3816 3816 0
"1" "23" 3849 3849 0
"1" "23" 3973 3973 0
"1" "23" 4234 4234 0
"1" "23" 4263 4263 0
"1" "23" 4280 4280 0
"1" "23" 4295 4295 0
"1" "23" 4299 4300 1
"1" "23" 4336 4336 0
"1" "23" 4864 4864 0
"1" "23" 4873 4873 0
"1" "23" 5081 5081 0
"1" "24" 4864 4864 0
"1" "24" 4896 4902 6
"1" "24" 4956 4956 0
"1" "24" 9499 9499 0
"1" "24" 9558 9558 0
"1" "24" 9603 9603 0
"1" "24" 9610 9643 33
"1" "24" 9712 9712 0
"1" "24" 10071 10071 0
"1" "25" 1058 1069 11
"1" "25" 1111 1111 0
"1" "25" 1117 1117 0
"1" "25" 1143 1154 11
"1" "25" 1170 1185 15
"1" "25" 1253 1253 0
"1" "25" 1264 1331 67
"1" "25" 1359 1359 0
"1" "25" 1364 1388 24
"1" "25" 1430 1538 108
"1" "25" 1555 1555 0
"1" "25" 1581 1599 18
"1" "25" 1617 1617 0
"1" "25" 1638 1638 0
"1" "25" 1657 1657 0
"1" "25" 1665 1699 34
