"tempo" "com" "a" "b" "status"
"1122000" "CONN" "1" "114" "up"
"1138000" "CONN" "1" "114" "down"
"2516000" "CONN" "1" "114" "up"
"2516000" "CONN" "1" "114" "down"
"2911000" "CONN" "1" "114" "up"
"2911000" "CONN" "1" "114" "down"
"1742000" "CONN" "1" "115" "up"
"1742000" "CONN" "1" "115" "down"
"3314000" "CONN" "1" "115" "up"
"3325000" "CONN" "1" "115" "down"
"3361000" "CONN" "1" "115" "up"
"3361000" "CONN" "1" "115" "down"
"3711000" "CONN" "1" "115" "up"
"3711000" "CONN" "1" "115" "down"
"4329000" "CONN" "1" "115" "up"
"4329000" "CONN" "1" "115" "down"
"7522000" "CONN" "1" "119" "up"
"7539000" "CONN" "1" "119" "down"
"1022000" "CONN" "1" "12" "up"
"1022000" "CONN" "1" "12" "down"
"1044000" "CONN" "1" "12" "up"
"1044000" "CONN" "1" "12" "down"
"1078000" "CONN" "1" "12" "up"
"1078000" "CONN" "1" "12" "down"
"1099000" "CONN" "1" "12" "up"
"1099000" "CONN" "1" "12" "down"
"1129000" "CONN" "1" "12" "up"
"1129000" "CONN" "1" "12" "down"
"1288000" "CONN" "1" "12" "up"
"1288000" "CONN" "1" "12" "down"
"1429000" "CONN" "1" "12" "up"
"1429000" "CONN" "1" "12" "down"
"1457000" "CONN" "1" "12" "up"
"1457000" "CONN" "1" "12" "down"
"1504000" "CONN" "1" "12" "up"
"1504000" "CONN" "1" "12" "down"
"1704000" "CONN" "1" "12" "up"
"1706000" "CONN" "1" "12" "down"
"1753000" "CONN" "1" "12" "up"
"1753000" "CONN" "1" "12" "down"
"1754000" "CONN" "1" "12" "up"
"1754000" "CONN" "1" "12" "down"
"1772000" "CONN" "1" "12" "up"
"1772000" "CONN" "1" "12" "down"
"1788000" "CONN" "1" "12" "up"
"1788000" "CONN" "1" "12" "down"
"1789000" "CONN" "1" "12" "up"
"1812000" "CONN" "1" "12" "down"
"2498000" "CONN" "1" "12" "up"
"2498000" "CONN" "1" "12" "down"
"2509000" "CONN" "1" "12" "up"
"2537000" "CONN" "1" "12" "down"
"4505000" "CONN" "1" "12" "up"
"4537000" "CONN" "1" "12" "down"
"4562000" "CONN" "1" "12" "up"
"4615000" "CONN" "1" "12" "down"
"6129000" "CONN" "1" "12" "up"
"6146000" "CONN" "1" "12" "down"
"6148000" "CONN" "1" "12" "up"
"6148000" "CONN" "1" "12" "down"
"6171000" "CONN" "1" "12" "up"
"6190000" "CONN" "1" "12" "down"
"7265000" "CONN" "1" "12" "up"
"7265000" "CONN" "1" "12" "down"
"7277000" "CONN" "1" "12" "up"
"7277000" "CONN" "1" "12" "down"
"7308000" "CONN" "1" "12" "up"
"7326000" "CONN" "1" "12" "down"
"7336000" "CONN" "1" "12" "up"
"7336000" "CONN" "1" "12" "down"
"7388000" "CONN" "1" "12" "up"
"7388000" "CONN" "1" "12" "down"
"7391000" "CONN" "1" "12" "up"
"7391000" "CONN" "1" "12" "down"
"7405000" "CONN" "1" "12" "up"
"7405000" "CONN" "1" "12" "down"
"7581000" "CONN" "1" "12" "up"
"7581000" "CONN" "1" "12" "down"
"7627000" "CONN" "1" "12" "up"
"7627000" "CONN" "1" "12" "down"
"7664000" "CONN" "1" "12" "up"
"7664000" "CONN" "1" "12" "down"
"7788000" "CONN" "1" "12" "up"
"7788000" "CONN" "1" "12" "down"
"7806000" "CONN" "1" "12" "up"
"7806000" "CONN" "1" "12" "down"
"8604000" "CONN" "1" "12" "up"
"8618000" "CONN" "1" "12" "down"
"9544000" "CONN" "1" "12" "up"
"9544000" "CONN" "1" "12" "down"
"594000" "CONN" "1" "120" "up"
"594000" "CONN" "1" "120" "down"
"880000" "CONN" "1" "120" "up"
"880000" "CONN" "1" "120" "down"
"914000" "CONN" "1" "120" "up"
"914000" "CONN" "1" "120" "down"
"1357000" "CONN" "1" "120" "up"
"1357000" "CONN" "1" "120" "down"
"1490000" "CONN" "1" "120" "up"
"1610000" "CONN" "1" "120" "down"
"1640000" "CONN" "1" "120" "up"
"1640000" "CONN" "1" "120" "down"
"1662000" "CONN" "1" "120" "up"
"1662000" "CONN" "1" "120" "down"
"2003000" "CONN" "1" "120" "up"
"2003000" "CONN" "1" "120" "down"
"2010000" "CONN" "1" "120" "up"
"2010000" "CONN" "1" "120" "down"
"2164000" "CONN" "1" "120" "up"
"2164000" "CONN" "1" "120" "down"
"2719000" "CONN" "1" "120" "up"
"2719000" "CONN" "1" "120" "down"
"4165000" "CONN" "1" "120" "up"
"4165000" "CONN" "1" "120" "down"
"4247000" "CONN" "1" "120" "up"
"4281000" "CONN" "1" "120" "down"
"4346000" "CONN" "1" "120" "up"
"4346000" "CONN" "1" "120" "down"
"5513000" "CONN" "1" "120" "up"
"5513000" "CONN" "1" "120" "down"
"6270000" "CONN" "1" "120" "up"
"6283000" "CONN" "1" "120" "down"
"6369000" "CONN" "1" "120" "up"
"6369000" "CONN" "1" "120" "down"
"6556000" "CONN" "1" "120" "up"
"6556000" "CONN" "1" "120" "down"
"6590000" "CONN" "1" "120" "up"
"6631000" "CONN" "1" "120" "down"
"6704000" "CONN" "1" "120" "up"
"6704000" "CONN" "1" "120" "down"
"6741000" "CONN" "1" "120" "up"
"6771000" "CONN" "1" "120" "down"
"6939000" "CONN" "1" "120" "up"
"6939000" "CONN" "1" "120" "down"
"7020000" "CONN" "1" "120" "up"
"7020000" "CONN" "1" "120" "down"
"8285000" "CONN" "1" "120" "up"
"8285000" "CONN" "1" "120" "down"
"8312000" "CONN" "1" "120" "up"
"8359000" "CONN" "1" "120" "down"
"8399000" "CONN" "1" "120" "up"
"8414000" "CONN" "1" "120" "down"
"338000" "CONN" "1" "121" "up"
"349000" "CONN" "1" "121" "down"
"382000" "CONN" "1" "121" "up"
"437000" "CONN" "1" "121" "down"
"476000" "CONN" "1" "121" "up"
"476000" "CONN" "1" "121" "down"
"689000" "CONN" "1" "121" "up"
"689000" "CONN" "1" "121" "down"
"730000" "CONN" "1" "121" "up"
"730000" "CONN" "1" "121" "down"
"1373000" "CONN" "1" "121" "up"
"1400000" "CONN" "1" "121" "down"
"1459000" "CONN" "1" "121" "up"
"1459000" "CONN" "1" "121" "down"
"1629000" "CONN" "1" "121" "up"
"1629000" "CONN" "1" "121" "down"
"2133000" "CONN" "1" "121" "up"
"2146000" "CONN" "1" "121" "down"
"2529000" "CONN" "1" "121" "up"
"2529000" "CONN" "1" "121" "down"
"2840000" "CONN" "1" "121" "up"
"2883000" "CONN" "1" "121" "down"
"2911000" "CONN" "1" "121" "up"
"2911000" "CONN" "1" "121" "down"
"2966000" "CONN" "1" "121" "up"
"2966000" "CONN" "1" "121" "down"
"2993000" "CONN" "1" "121" "up"
"2993000" "CONN" "1" "121" "down"
"3711000" "CONN" "1" "121" "up"
"3711000" "CONN" "1" "121" "down"
"3852000" "CONN" "1" "121" "up"
"3852000" "CONN" "1" "121" "down"
"7891000" "CONN" "1" "121" "up"
"7891000" "CONN" "1" "121" "down"
"7946000" "CONN" "1" "121" "up"
"7958000" "CONN" "1" "121" "down"
"8458000" "CONN" "1" "129" "up"
"8458000" "CONN" "1" "129" "down"
"412000" "CONN" "1" "13" "up"
"412000" "CONN" "1" "13" "down"
"437000" "CONN" "1" "13" "up"
"437000" "CONN" "1" "13" "down"
"771000" "CONN" "1" "13" "up"
"771000" "CONN" "1" "13" "down"
"824000" "CONN" "1" "13" "up"
"824000" "CONN" "1" "13" "down"
"832000" "CONN" "1" "13" "up"
"846000" "CONN" "1" "13" "down"
"853000" "CONN" "1" "13" "up"
"853000" "CONN" "1" "13" "down"
"880000" "CONN" "1" "13" "up"
"880000" "CONN" "1" "13" "down"
"883000" "CONN" "1" "13" "up"
"883000" "CONN" "1" "13" "down"
"933000" "CONN" "1" "13" "up"
"933000" "CONN" "1" "13" "down"
"942000" "CONN" "1" "13" "up"
